ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,trade_date_basic,close_basic,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv,generated_at
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688183.SH,生益电子,AI硬件,PCB,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
600183.SH,生益科技,AI硬件,PCB,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
601138.SH,工业富联,AI服务器,ODM,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688041.SH,海光信息,AI芯片,GPU,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688256.SH,寒武纪,AI芯片,GPU,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688012.SH,中微公司,半导体设备,刻蚀,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002371.SZ,北方华创,半导体设备,设备,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688072.SH,拓荆科技,半导体设备,CVD,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688120.SH,华海清科,半导体设备,CMP,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
603986.SH,兆易创新,存储,Flash,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688008.SH,澜起科技,存储,DDR5,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
301308.SZ,江波龙,存储,NAND,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300223.SZ,北京君正,存储,DRAM,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
688111.SH,金山办公,AI应用,办公,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
601360.SH,三六零,AI应用,Agent,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
600588.SH,用友网络,AI应用,企业软件,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002028.SZ,思源电气,电力,电网,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
601179.SH,中国西电,电力,特高压,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
600312.SH,平高电气,电力,开关设备,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
600089.SH,特变电工,电力,变压器,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002837.SZ,英维克,液冷,液冷,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300499.SZ,高澜股份,液冷,液冷,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
301018.SZ,申菱环境,液冷,温控,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300124.SZ,汇川技术,机器人,工业自动化,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002747.SZ,埃斯顿,机器人,工业机器人,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
300024.SZ,机器人,机器人,机器人,A,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
601689.SH,拓普集团,机器人,执行器,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
002050.SZ,三花智控,机器人,热管理,S,CN,1,,,,,,,,,,,,,,,,,,,,2026-06-29 03:05:34
