ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260909,39.27,39.32,38.9,39.04,39.27,-0.23,-0.5857,164968.17,643898.44773,6.4389844773,0.7533,0.83,111.7205,107.238,4.1059,9377719.6993,937.7719699300001,8549630.9338,854.96309338,2026-09-09 20:28:26
688111.SH,金山办公,AI应用,办公,S,CN,1,20260909,235.27,235.27,229.2,231.69,235.27,-3.58,-1.5217,46249.58,1069785.86,10.697858600000002,0.9967,0.88,58.5402,29.8063,7.1307,10750726.4646,1075.07264646,10750726.4646,1075.07264646,2026-09-09 20:28:26
601360.SH,三六零,AI应用,Agent,A,CN,1,20260909,8.91,8.93,8.77,8.82,8.97,-0.15,-1.6722,842976.84,744888.724,7.44888724,1.2043,0.85,234.7264,81.1801,2.1854,6173610.0678,617.36100678,6173610.0678,617.36100678,2026-09-09 20:28:26
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260909,9.92,9.95,9.63,9.7,9.96,-0.26,-2.6104,483404.44,470724.909,4.7072490899999995,1.4147,0.73,,,4.9319,3314487.478,331.44874780000004,3314487.478,331.44874780000004,2026-09-09 20:28:26
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260909,64.9,66.08,64.47,65.24,64.75,0.49,0.7568,761505.65,4971511.293,49.71511293,0.3837,0.67,36.69,27.5966,7.3662,129462858.1652,12946.28581652,129462858.1652,12946.28581652,2026-09-09 20:28:26
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260909,83.0,83.12,82.08,82.43,82.54,-0.11,-0.1333,140496.48,1159568.163,11.59568163,0.9603,0.6,55.4175,49.8568,5.2317,12060462.7151,1206.04627151,12059956.5949,1205.99565949,2026-09-09 20:28:26
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260909,33.92,34.38,33.31,33.57,33.89,-0.32,-0.9442,1267934.16,4290572.4814,42.905724814,4.4332,0.72,56.9633,34.1491,5.3728,9601288.2243,960.1288224300001,9601264.0539,960.12640539,2026-09-09 20:28:26
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260909,72.48,72.8,70.88,71.38,72.32,-0.94,-1.2998,706633.5,5058632.84173,50.5863284173,4.8171,0.57,43.4421,22.9569,4.2723,10481986.6846,1048.19866846,10470844.2666,1047.08442666,2026-09-09 20:28:26
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260909,127.4,130.86,125.6,127.55,124.9,2.65,2.1217,475846.83,6100788.16149,61.0078816149,2.4747,0.91,64.2158,48.4808,13.6444,24545256.4425,2454.52564425,24525973.4335,2452.59734335,2026-09-09 20:28:26
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260909,233.9,239.2,230.63,233.51,229.01,4.5,1.965,268259.17,6290028.92289,62.9002892289,3.1006,1.09,53.2214,45.6638,6.0537,22949007.8648,2294.90078648,20203166.1099,2020.31661099,2026-09-09 20:28:26
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260909,128.5,131.75,125.9,128.53,126.55,1.98,1.5646,166334.3,2144284.1,21.442841,1.9859,0.84,73.0786,52.4294,16.5314,10765559.6936,1076.55596936,10765559.6936,1076.55596936,2026-09-09 20:28:26
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260909,147.9,151.88,146.51,148.16,146.28,1.88,1.2852,589970.34,8801337.181,88.01337181,2.4462,0.84,107.9442,69.282,19.4512,35988118.8192,3598.8118819200004,35732471.7024,3573.24717024,2026-09-09 20:28:26
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260909,932.5,934.49,901.0,908.9,902.37,6.53,0.7236,201100.5,18420917.4755,184.209174755,1.8118,0.71,99.155,52.3438,26.8596,107060207.2705,10706.02072705,100882174.2027,10088.21742027,2026-09-09 20:28:26
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260909,386.3,391.66,380.0,383.3,382.5,0.8,0.2092,75650.26,2913977.78405,29.1397778405,1.1376,1.0,79.7045,62.6542,14.4808,26109115.778,2610.9115778,25490262.596,2549.0262596000002,2026-09-09 20:28:26
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260909,1759.0,1775.27,1705.0,1718.0,1715.0,3.0,0.1749,25769.82,4491656.861,44.91656861,2.0969,0.74,1120.2965,284.5312,68.0817,21389151.54,2138.915154,21112862.78,2111.286278,2026-09-09 20:28:26
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260909,206.83,211.0,200.13,201.55,201.55,0.0,0.0,210910.11,4324081.85142,43.2408185142,10.9739,1.41,153.1204,151.6204,27.4416,4577742.6695,457.77426694999997,3873645.884,387.3645884,2026-09-09 20:28:26
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260909,270.0,270.88,256.13,258.03,258.5,-0.47,-0.1818,300595.93,7907332.90069,79.0733290069,2.7618,0.76,139.5282,121.2007,45.0448,28146557.475,2814.6557475,28083675.564,2808.3675564,2026-09-09 20:28:26
