ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
601360.SH,三六零,AI应用,Agent,A,CN,1,20260811,9.65,9.87,9.52,9.67,9.61,0.06,0.6243,1028128.64,998561.097,9.98561097,1.4688,,257.3475,104.8668,2.318,6768572.4893,676.85724893,6768572.4893,676.85724893,2026-08-11 16:33:44
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260811,11.89,12.15,11.6,11.92,11.86,0.06,0.5059,747421.12,890882.509,8.908825089999999,2.1874,,,,5.9069,4073060.9008,407.30609008,4073060.9008,407.30609008,2026-08-11 16:33:44
688111.SH,金山办公,AI应用,办公,S,CN,1,20260811,262.0,269.89,258.88,261.4,262.6,-1.2,-0.457,98635.28,2603615.161,26.036151609999997,2.1257,,66.0469,33.4249,8.0169,12129310.276,1212.9310276,12129310.276,1212.9310276,2026-08-11 16:33:44
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260811,43.55,43.65,42.83,42.88,43.49,-0.61,-1.4026,334572.25,1445126.52162,14.4512652162,1.5278,,122.7094,119.3638,5.4634,10300118.3582,1030.01183582,9390578.2387,939.0578238700001,2026-08-11 16:33:44
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260811,85.76,87.59,84.87,86.35,86.24,0.11,0.1276,317487.46,2744653.752,27.44653752,2.17,,58.0529,56.9699,5.6012,12634004.0695,1263.40040695,12633473.8805,1263.34738805,2026-08-11 16:33:44
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260811,37.62,38.6,36.67,37.39,37.63,-0.24,-0.6378,2251032.66,8471822.76717,84.7182276717,7.8705,,63.4453,50.3267,6.8872,10693838.7461,1069.38387461,10693811.8253,1069.3811825300002,2026-08-11 16:33:44
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260811,76.7,77.2,75.01,75.11,76.7,-1.59,-2.073,538912.2,4090115.24222,40.9011524222,3.674,,45.7121,43.1679,4.9455,11029728.4937,1102.97284937,11017373.6498,1101.7373649800002,2026-08-11 16:33:44
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260811,67.93,68.19,65.52,66.01,69.18,-3.17,-4.5822,1358340.51,9051098.041,90.51098040999999,0.6845,,37.1231,32.2244,7.4335,130990853.2723,13099.085327230001,130990853.2723,13099.085327230001,2026-08-11 16:33:44
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260811,410.2,420.58,398.88,415.3,399.6,15.7,3.9289,483612.25,19977399.8933,199.773998933,3.8558,,60.7469,53.9158,28.4138,57903480.751,5790.348075100001,52088720.096,5208.8720096,2026-08-11 16:33:44
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260811,880.14,898.48,850.4,886.96,864.58,22.38,2.5885,339737.22,29958629.1862,299.586291862,3.0609,,96.09,69.4037,29.154,103750788.9512,10375.07889512,98447220.5008,9844.72205008,2026-08-11 16:33:44
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260811,365.71,395.98,363.01,380.7,372.4,8.3,2.2288,118289.2,4507948.60093,45.0794860093,1.7793,,79.1639,71.3492,14.3346,25932012.462,2593.2012462000002,25309297.665,2530.9297665,2026-08-11 16:33:44
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260811,218.22,228.58,216.88,222.49,223.03,-0.54,-0.2421,318682.6,7116847.85102,71.1684785102,2.928,,120.3102,111.7466,40.5858,24269767.6499,2426.97676499,24215546.8369,2421.55468369,2026-08-11 16:33:44
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260811,139.21,143.86,137.0,140.45,141.99,-1.54,-1.0846,138421.25,1944304.58083,19.443045808300003,7.2022,,106.7019,111.7835,18.033,3189997.3105,318.99973105000004,2699347.876,269.9347876,2026-08-11 16:33:44
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260811,110.03,113.22,108.58,111.08,112.32,-1.24,-1.104,103527.29,1151460.457,11.51460457,1.236,,63.157,54.1657,15.1767,9303963.0496,930.39630496,9303963.0496,930.39630496,2026-08-11 16:33:44
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260811,120.07,124.98,119.14,121.0,122.7,-1.7,-1.3855,375931.77,4583757.26864,45.8375726864,1.9551,,60.9182,54.1265,13.8684,23284799.56,2328.4799559999997,23266007.05,2326.6007050000003,2026-08-11 16:33:44
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260811,135.8,140.58,133.66,135.3,138.57,-3.27,-2.3598,587915.13,8047117.212,80.47117212,2.4377,,98.5749,83.6575,18.3316,32864420.061,3286.4420061,32630962.617,3263.0962617,2026-08-11 16:33:44
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260811,280.0,282.77,272.0,274.53,286.0,-11.47,-4.0105,426629.33,11819117.3799,118.191173799,4.931,,62.5707,57.6533,15.5023,26980391.1144,2698.03911144,23752195.5897,2375.21955897,2026-08-11 16:33:44
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260811,1380.0,1396.0,1291.0,1351.0,1415.1,-64.1,-4.5297,52391.53,7081205.704,70.81205704,4.2632,,880.9782,472.4108,66.6209,16819990.53,1681.9990530000002,16602722.71,1660.272271,2026-08-11 16:33:44
688041.SH,海光信息,AI芯片,GPU,S,CN,1,20260811,285.79,292.77,285.51,287.01,290.44,-3.43,-1.181,122356.62,3542933.967,35.429339670000005,0.5264,,262.1363,244.7124,28.3908,66710827.8081,6671.08278081,66710827.8081,6671.08278081,2026-08-11 16:33:44
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,20260811,53.36,53.76,52.8,53.12,54.09,-0.97,-1.7933,71932.62,383473.5446,3.8347354460000003,1.7697,,,,4.0692,2776153.7216,277.61537216,2159190.4192,215.91904191999998,2026-08-11 16:33:44
688256.SH,寒武纪,AI芯片,GPU,S,CN,1,20260811,1100.0,1123.99,1070.0,1090.64,1124.0,-33.36,-2.968,134160.47,14751222.439,147.51222439,2.1353,,332.7661,205.6511,50.5511,68524147.752,6852.414775200001,68524147.752,6852.414775200001,2026-08-11 16:33:44
688120.SH,华海清科,半导体设备,CMP,A,CN,1,20260811,258.31,278.5,258.23,268.33,263.53,4.8,1.8214,161336.69,4372927.292,43.72927292000001,3.2509,,122.8792,121.3244,17.2477,13316718.8062,1331.67188062,13316718.8062,1331.67188062,2026-08-11 16:33:44
002371.SZ,北方华创,半导体设备,设备,S,CN,1,20260811,753.03,767.74,742.55,746.1,760.0,-13.9,-1.8289,67209.16,5063292.1675,50.632921675000006,0.9269,,98.051,97.1008,13.779,54143671.212,5414.3671212,54100445.7593,5410.04457593,2026-08-11 16:33:44
688072.SH,拓荆科技,半导体设备,CVD,S,CN,1,20260811,710.0,728.42,693.13,700.0,728.0,-28.0,-3.8462,59236.57,4217264.5,42.172645,2.0954,,219.5688,123.749,28.0763,20347530.0,2034.753,19788510.0,1978.851,2026-08-11 16:33:44
688012.SH,中微公司,半导体设备,刻蚀,S,CN,1,20260811,378.0,384.0,362.0,363.1,389.99,-26.89,-6.895,304791.99,11412088.549,114.12088549,3.2349,,164.7156,127.4489,14.307,34779253.913,3477.9253913000002,34211173.07,3421.117307,2026-08-11 16:33:44
301308.SZ,江波龙,存储,NAND,A,CN,1,20260811,412.0,442.0,406.66,417.5,412.5,5.0,1.2121,288112.6,12326403.4363,123.26403436300001,10.2221,,124.0977,14.7369,9.505,17662796.75,1766.279675,11767316.825,1176.7316825,2026-08-11 16:33:44
688008.SH,澜起科技,存储,DDR5,S,CN,1,20260811,203.55,214.4,202.85,206.7,206.92,-0.22,-0.1063,361665.53,7554171.345,75.54171345,3.1593,,112.8505,98.6406,12.1025,25228520.46,2522.852046,23662282.215,2366.2282215,2026-08-11 16:33:44
603986.SH,兆易创新,存储,Flash,S,CN,1,20260811,397.0,414.78,396.58,402.29,403.03,-0.74,-0.1836,436502.3,17721401.026,177.21401026,6.5297,,171.2992,98.2053,11.1701,28230499.605,2823.0499605,26892760.6451,2689.27606451,2026-08-11 16:33:44
300223.SZ,北京君正,存储,DRAM,A,CN,1,20260811,136.19,141.66,136.19,137.86,138.48,-0.62,-0.4477,309555.63,4303817.77773,43.0381777773,7.3193,,177.2285,107.32,5.2438,6667796.9635,666.77969635,5830560.7898,583.05607898,2026-08-11 16:33:44
002747.SZ,埃斯顿,机器人,工业机器人,S,CN,1,20260811,34.38,36.62,33.9,36.12,34.63,1.49,4.3026,970399.11,3438624.9835,34.386249835,12.4028,,777.2997,268.5295,10.7965,3495688.0122,349.56880122,2826045.5163,282.60455163,2026-08-11 16:33:44
002050.SZ,三花智控,机器人,热管理,S,CN,1,20260811,38.3,40.45,38.03,39.7,38.53,1.17,3.0366,987445.55,3901447.42624,39.0144742624,2.6752,,41.118,40.8745,5.1201,16705815.183,1670.5815183,14653448.65,1465.344865,2026-08-11 16:33:44
